iter	Passed	Remaining
0	9	9449
1	14	7356
2	19	6492
3	24	6171
4	29	5969
5	34	5692
6	39	5605
7	44	5526
8	49	5417
9	53	5321
10	56	5100
11	61	5088
12	67	5110
13	72	5075
14	76	5055
15	81	5016
16	86	5003
17	91	4998
18	96	4997
19	101	4984
20	106	4951
21	110	4925
22	115	4916
23	120	4918
24	125	4909
25	130	4905
26	136	4932
27	142	4949
28	147	4955
29	153	4958
30	159	4981
31	165	4998
32	170	5008
33	175	4986
34	181	5007
35	187	5027
36	194	5053
37	200	5064
38	207	5111
39	214	5144
40	221	5187
41	228	5205
42	234	5230
43	240	5232
44	246	5231
45	252	5244
46	259	5264
47	281	5575
48	287	5586
49	293	5579
50	300	5583
51	305	5572
52	312	5579
53	317	5569
54	324	5568
55	332	5598
56	337	5588
57	342	5569
58	348	5558
59	355	5564
60	362	5575
61	368	5571
62	373	5557
63	379	5551
64	385	5543
65	391	5542
66	397	5539
67	403	5534
68	409	5521
69	414	5508
70	419	5492
71	443	5716
72	452	5749
73	459	5752
74	693	8547
75	699	8508
76	705	8459
77	711	8406
78	717	8360
79	723	8314
80	729	8271
81	735	8228
82	740	8185
83	747	8146
84	753	8112
85	759	8071
86	765	8029
87	770	7987
88	776	7948
89	782	7915
90	789	7886
91	795	7850
92	801	7818
93	804	7756
94	810	7718
95	816	7691
96	824	7671
97	830	7646
98	837	7625
99	844	7596
100	850	7568
101	856	7536
102	862	7508
103	868	7481
104	874	7456
105	880	7424
106	884	7379
107	889	7348
108	895	7321
109	900	7289
110	906	7256
111	911	7224
112	917	7199
113	922	7171
114	929	7151
115	935	7128
116	940	7099
117	945	7070
118	952	7050
119	957	7024
120	965	7011
121	970	6986
122	975	6953
123	978	6915
124	984	6893
125	989	6864
126	994	6834
127	999	6810
128	1005	6785
129	1009	6757
130	1014	6728
131	1019	6704
132	1024	6680
133	1030	6656
134	1034	6630
135	1039	6603
136	1044	6580
137	1049	6555
138	1055	6536
139	1060	6511
140	1065	6493
141	1071	6473
142	1076	6452
143	1083	6439
144	1088	6415
145	1092	6393
146	1098	6373
147	1103	6351
148	1108	6330
149	1114	6312
150	1119	6291
151	1124	6273
152	1129	6251
153	1134	6231
154	1139	6213
155	1144	6194
156	1149	6173
157	1154	6153
158	1160	6136
159	1165	6117
160	1171	6106
161	1177	6090
162	1182	6072
163	1187	6051
164	1192	6033
165	1197	6015
166	1202	5999
167	1207	5980
168	1212	5960
169	1217	5944
170	1222	5925
171	1227	5909
172	1232	5890
173	1237	5873
174	1242	5857
175	1247	5838
176	1251	5820
177	1257	5807
178	1263	5796
179	1269	5782
180	1275	5770
181	1280	5755
182	1285	5740
183	1290	5722
184	1294	5704
185	1302	5700
186	1308	5689
187	1314	5677
188	1319	5663
189	1324	5646
190	1329	5629
191	1335	5619
192	1340	5604
193	1345	5589
194	1350	5575
195	1355	5559
196	1360	5543
197	1365	5532
198	1370	5516
199	1375	5502
200	1381	5490
201	1386	5478
202	1391	5464
203	1396	5449
204	1401	5434
205	1406	5419
206	1411	5407
207	1416	5392
208	1421	5378
209	1425	5364
210	1431	5354
211	1437	5343
212	1443	5331
213	1448	5320
214	1453	5307
215	1459	5296
216	1463	5282
217	1469	5270
218	1473	5256
219	1478	5241
220	1483	5228
221	1487	5214
222	1492	5200
223	1497	5188
224	1502	5175
225	1506	5160
226	1511	5148
227	1516	5134
228	1521	5123
229	1526	5111
230	1532	5101
231	1537	5089
232	1542	5076
233	1547	5065
234	1551	5052
235	1561	5054
236	1566	5042
237	1571	5032
238	1577	5022
239	1582	5010
240	1587	4998
241	1592	4988
242	1598	4978
243	1602	4966
244	1608	4956
245	1613	4944
246	1617	4931
247	1622	4920
248	1627	4908
249	1633	4899
250	1642	4902
251	1667	4948
252	1672	4937
253	1677	4926
254	1683	4917
255	2081	6049
256	2088	6037
257	2093	6021
258	2100	6009
259	2106	5996
260	2112	5982
261	2119	5970
262	2126	5958
263	2132	5946
264	2138	5931
265	2144	5916
266	2150	5904
267	2157	5891
268	2164	5882
269	2169	5866
270	2175	5851
271	2181	5837
272	2186	5823
273	2192	5809
274	2198	5796
275	2205	5784
276	2211	5772
277	2216	5757
278	2223	5746
279	2230	5735
280	2236	5721
281	2241	5707
282	2247	5693
283	2252	5678
284	2257	5663
285	2263	5651
