iter	Passed	Remaining
0	17	17654
1	22	11373
2	27	9185
3	31	7965
4	36	7204
5	40	6756
6	45	6448
7	50	6267
8	55	6124
9	60	6011
10	65	5906
11	70	5817
12	75	5717
13	80	5644
14	84	5550
15	89	5503
16	94	5478
17	99	5422
18	104	5384
19	109	5370
20	114	5344
21	119	5290
22	123	5253
23	128	5234
24	133	5206
25	137	5168
26	141	5087
27	145	5045
28	149	4989
29	154	4983
30	159	4973
31	164	4966
32	168	4944
33	173	4932
34	178	4908
35	182	4896
36	188	4897
37	193	4893
38	197	4876
39	202	4869
40	208	4879
41	213	4880
42	219	4880
43	224	4867
44	228	4854
45	234	4865
46	239	4862
47	244	4852
48	250	4853
49	254	4843
50	260	4846
51	265	4844
52	270	4836
53	275	4831
54	282	4845
55	287	4848
56	292	4845
57	298	4844
58	303	4838
59	308	4834
60	313	4824
61	318	4817
62	323	4810
63	354	5182
64	377	5423
65	386	5476
66	391	5457
67	557	7637
68	634	8559
69	639	8491
70	643	8424
71	650	8387
72	656	8339
73	662	8291
74	669	8252
75	675	8217
76	682	8185
77	688	8143
78	695	8105
79	701	8065
80	707	8027
81	713	7990
82	719	7948
83	725	7909
84	732	7881
85	738	7844
86	744	7817
87	752	7799
88	759	7778
89	766	7753
90	775	7741
91	782	7719
92	789	7701
93	796	7674
94	802	7641
95	809	7625
96	816	7600
97	824	7585
98	830	7561
99	837	7539
100	844	7514
101	851	7492
102	858	7472
103	863	7443
104	870	7421
105	877	7399
106	884	7378
107	890	7352
108	896	7326
109	902	7305
110	909	7283
111	915	7256
112	922	7238
113	929	7220
114	935	7199
115	942	7178
116	948	7155
117	954	7130
118	959	7103
119	964	7072
120	970	7048
121	975	7022
122	981	7000
123	987	6977
124	993	6956
125	999	6934
126	1004	6904
127	1009	6880
128	1015	6856
129	1020	6832
130	1026	6806
131	1030	6776
132	1035	6750
133	1040	6721
134	1044	6695
135	1049	6666
136	1053	6637
137	1058	6613
138	1063	6586
139	1067	6559
140	1072	6534
141	1077	6508
142	1082	6487
143	1087	6465
144	1094	6452
145	1099	6432
146	1105	6416
147	1111	6399
148	1116	6378
149	1122	6362
150	1127	6337
151	1132	6320
152	1140	6313
153	1145	6293
154	1150	6272
155	1156	6255
156	1161	6238
157	1167	6223
158	1176	6223
159	1184	6216
160	1191	6210
161	1198	6200
162	1207	6198
163	1213	6184
164	1219	6173
165	1226	6159
166	1233	6150
167	1240	6143
168	1246	6126
169	1252	6114
170	1258	6101
171	1265	6092
172	1272	6082
173	1279	6072
174	1297	6115
175	1303	6102
176	1310	6091
177	1318	6087
178	1325	6077
179	1331	6067
180	1337	6053
181	1344	6042
182	1350	6027
183	1355	6012
184	1360	5993
185	1365	5975
186	1370	5959
187	1376	5943
188	1381	5929
189	1386	5912
190	1392	5896
191	1397	5879
192	1402	5865
193	1407	5846
194	1412	5829
195	1416	5811
196	1422	5796
197	1427	5781
198	1431	5763
199	1436	5746
200	1441	5728
201	1445	5712
202	1450	5693
203	1464	5716
204	1470	5702
205	1475	5685
206	1479	5668
207	1486	5659
208	1492	5648
209	1498	5635
210	1503	5623
211	1508	5608
212	1514	5596
213	1519	5581
214	1527	5577
215	1534	5570
216	1541	5561
217	1547	5551
218	1553	5539
219	1561	5534
220	1568	5530
221	1575	5521
222	1582	5513
223	1615	5596
224	1621	5584
225	1958	6706
226	2120	7219
227	2125	7197
228	2130	7174
229	2137	7154
230	2142	7131
231	2149	7114
232	2155	7094
