iter	Logloss	Accuracy
0	0.6806001114	0.7945205479
1	0.6658585168	0.7808219178
2	0.6501655095	0.7945205479
3	0.635379151	0.8356164384
4	0.6243500558	0.8356164384
5	0.6091357765	0.8493150685
6	0.5983564561	0.8630136986
7	0.5889770936	0.8493150685
8	0.5810439206	0.8493150685
9	0.5697913643	0.8356164384
10	0.5614935807	0.8493150685
11	0.5469933263	0.8630136986
12	0.5421195075	0.8493150685
13	0.5360134809	0.8493150685
14	0.529322388	0.8767123288
15	0.5218560982	0.8767123288
16	0.516877253	0.8904109589
17	0.509732874	0.8904109589
18	0.5026791239	0.8767123288
19	0.4961233606	0.8767123288
20	0.4895667431	0.8904109589
21	0.4850631435	0.8904109589
22	0.4768806585	0.904109589
23	0.4702718289	0.904109589
24	0.4626792681	0.904109589
25	0.4568661432	0.9178082192
26	0.4509107986	0.904109589
27	0.4451045977	0.904109589
28	0.4416330079	0.8904109589
29	0.4393869669	0.8904109589
30	0.4355554835	0.904109589
31	0.4321816919	0.904109589
32	0.4270026601	0.9178082192
33	0.4229565611	0.904109589
34	0.4183679356	0.904109589
35	0.4143269001	0.904109589
36	0.4109292407	0.904109589
37	0.4018791022	0.9452054795
38	0.3947430837	0.9452054795
39	0.3863618521	0.9452054795
40	0.381492714	0.9452054795
41	0.3769782995	0.9452054795
42	0.3727397701	0.9452054795
43	0.3702633691	0.9452054795
44	0.3673119032	0.9452054795
45	0.3626033288	0.9452054795
46	0.3595579795	0.9589041096
47	0.355899677	0.9589041096
48	0.3538321928	0.9589041096
49	0.3523244381	0.9589041096
50	0.3479729075	0.9589041096
51	0.3449132106	0.9589041096
52	0.3427592685	0.9589041096
53	0.3410093955	0.9589041096
54	0.3380473766	0.9589041096
55	0.3368533049	0.9589041096
56	0.3351082222	0.9589041096
57	0.3281425649	0.9589041096
58	0.3270626072	0.9589041096
59	0.3259458447	0.9589041096
60	0.323982365	0.9589041096
61	0.3204854556	0.9589041096
62	0.3171756378	0.9589041096
63	0.3146756632	0.9589041096
64	0.3117047869	0.9589041096
65	0.3065371137	0.9589041096
66	0.3054995572	0.9589041096
67	0.3044749788	0.9589041096
68	0.3029018359	0.9589041096
69	0.3009911561	0.9589041096
70	0.2977783264	0.9726027397
71	0.296128304	0.9726027397
72	0.2939681232	0.9726027397
73	0.293033885	0.9726027397
74	0.291647696	0.9726027397
75	0.2883905642	0.9863013699
76	0.2854747511	0.9863013699
77	0.2831814943	0.9863013699
78	0.2814217757	0.9863013699
79	0.2795355382	0.9863013699
80	0.2780853453	0.9863013699
81	0.2770438988	0.9863013699
82	0.2732147029	0.9863013699
83	0.2724639189	0.9863013699
84	0.2684642704	0.9863013699
85	0.2676668882	0.9863013699
86	0.2663119306	0.9863013699
87	0.2645717309	0.9863013699
88	0.263569403	0.9863013699
89	0.2613806402	0.9863013699
90	0.2604578991	0.9863013699
91	0.2572245336	0.9863013699
92	0.2547630522	0.9863013699
93	0.2514352507	0.9863013699
94	0.2502597406	0.9863013699
95	0.2496430941	0.9863013699
96	0.2486215319	0.9863013699
