iter	Logloss	Accuracy
0	0.6774709607	0.8169014085
1	0.6622165905	0.8450704225
2	0.6539373574	0.8591549296
3	0.6463795608	0.8309859155
4	0.6333867957	0.8309859155
5	0.6216854948	0.8309859155
6	0.6095826598	0.8450704225
7	0.5934615773	0.8450704225
8	0.5818594196	0.8450704225
9	0.5728269562	0.8450704225
10	0.5668734246	0.8732394366
11	0.5616975508	0.8732394366
12	0.5523637399	0.8309859155
13	0.5431166058	0.8309859155
14	0.537449134	0.8732394366
15	0.5314665542	0.8732394366
16	0.5186363275	0.9014084507
17	0.5092253813	0.8873239437
18	0.502928716	0.8873239437
19	0.4931069033	0.8873239437
20	0.4860378499	0.8873239437
21	0.4822613403	0.8873239437
22	0.4761714812	0.8873239437
23	0.4703462669	0.8873239437
24	0.4655802593	0.8873239437
25	0.4606905051	0.8873239437
26	0.4541065793	0.9014084507
27	0.4481732906	0.9014084507
28	0.4452628108	0.9014084507
29	0.4428232423	0.9014084507
30	0.4392067039	0.9014084507
31	0.434248552	0.9014084507
32	0.4282477223	0.9014084507
33	0.4223792217	0.9014084507
34	0.4179995026	0.9014084507
35	0.4145308001	0.9014084507
36	0.4027079249	0.9014084507
37	0.4009313234	0.9014084507
38	0.3978932728	0.9014084507
39	0.3949727539	0.9014084507
40	0.3924150664	0.9014084507
41	0.3901805381	0.9154929577
42	0.3876987332	0.9154929577
43	0.3848913847	0.9154929577
44	0.3820307573	0.9154929577
45	0.3792556277	0.9295774648
46	0.3739035067	0.9295774648
47	0.3700476329	0.9295774648
48	0.3682341649	0.9295774648
49	0.3648601231	0.9295774648
50	0.3632668146	0.9295774648
51	0.361552969	0.9295774648
52	0.3593635635	0.9295774648
53	0.3580080597	0.9295774648
54	0.353435956	0.9295774648
55	0.3488185131	0.9577464789
56	0.3464868889	0.9577464789
57	0.3438172034	0.9436619718
58	0.3402807391	0.9436619718
59	0.3369307182	0.9295774648
60	0.3332377264	0.9436619718
61	0.3301722968	0.9436619718
62	0.3281963561	0.9436619718
63	0.327109557	0.9436619718
64	0.3245479086	0.9577464789
65	0.3235864929	0.9436619718
66	0.3220179847	0.9436619718
67	0.3205741026	0.9436619718
68	0.3201697778	0.9436619718
69	0.3176932412	0.9436619718
70	0.3158650797	0.9718309859
71	0.3148164521	0.9577464789
72	0.3086043745	0.9718309859
73	0.3076004639	0.985915493
74	0.3049593859	0.9718309859
75	0.3040283756	0.985915493
76	0.3008433136	0.9718309859
77	0.2991014443	0.9577464789
78	0.2968601581	0.9577464789
79	0.2953568732	0.9718309859
80	0.2943993916	0.985915493
81	0.2924969842	0.985915493
82	0.2911916406	0.985915493
83	0.2901304294	0.985915493
84	0.2885761692	0.985915493
85	0.2856949697	0.985915493
86	0.2835852225	0.985915493
87	0.281414899	0.985915493
88	0.2792360937	0.985915493
89	0.277968223	0.985915493
90	0.2755456937	0.985915493
91	0.2732114463	0.985915493
92	0.2701201452	0.985915493
93	0.2693242899	0.985915493
94	0.2672920555	0.985915493
95	0.2664257679	0.985915493
96	0.2639498446	0.985915493
97	0.263017367	0.985915493
98	0.2615890548	0.985915493
99	0.260292755	0.985915493
100	0.2597339572	0.985915493
101	0.2589193031	0.985915493
102	0.2578115667	0.985915493
103	0.2569726247	0.985915493
104	0.2553933314	0.985915493
105	0.2545846318	0.985915493
106	0.2535833941	0.985915493
107	0.2516548336	0.985915493
108	0.2507461412	0.985915493
109	0.2480892657	0.985915493
110	0.2462386233	0.985915493
111	0.2451371611	0.985915493
112	0.2397728574	0.985915493
113	0.2377806303	0.985915493
114	0.2368476992	0.985915493
115	0.2357690229	0.985915493
116	0.2349843685	0.985915493
117	0.2340442931	0.985915493
118	0.2332636897	0.985915493
119	0.2320382061	0.985915493
120	0.2305122918	0.985915493
121	0.2290185998	1
122	0.2267248178	1
123	0.2255819639	1
124	0.2238024965	1
125	0.2231707972	1
126	0.2223962944	1
127	0.2214602694	1
128	0.2202498341	1
129	0.2187450019	1
130	0.2165123861	1
131	0.2115643439	1
132	0.2109493157	1
133	0.2099116919	1
134	0.2070765734	1
135	0.2063521474	1
136	0.20345993	1
137	0.2026414903	1
138	0.2005580583	1
139	0.1991179462	1
140	0.1984314214	1
141	0.1964446538	1
142	0.1959131686	1
143	0.1950438164	1
144	0.1941753373	1
145	0.1933116234	1
146	0.1921123097	1
147	0.1904996557	1
148	0.188586986	1
149	0.1877706455	1
150	0.1860161393	1
151	0.181941299	1
152	0.1802528862	1
153	0.1785169196	1
154	0.1779789534	1
155	0.1773205587	1
156	0.176790078	1
157	0.1752822127	1
158	0.1741726663	1
159	0.1719786308	1
160	0.1713639262	1
161	0.170809617	1
162	0.1703361793	1
163	0.1699554316	1
164	0.1694956221	1
165	0.1688974099	1
166	0.1650357907	1
167	0.1640786074	1
168	0.1629213643	1
169	0.1618288048	1
170	0.1611650898	1
171	0.1603312589	1
172	0.158055994	1
173	0.1574160886	1
174	0.1570035329	1
175	0.1565469637	1
176	0.1545129387	1
177	0.1512829406	1
178	0.1508588155	1
179	0.1501304631	1
180	0.1497129527	1
181	0.1489867664	1
182	0.1467618165	1
183	0.1452509275	1
184	0.1440949825	1
185	0.1422841273	1
186	0.1394466397	1
187	0.1388003273	1
188	0.1381742725	1
189	0.1376168248	1
190	0.1368650736	1
191	0.1343090079	1
192	0.1328622758	1
193	0.1310300581	1
194	0.1293800984	1
195	0.1284798243	1
196	0.127699602	1
197	0.1271075185	1
198	0.1266866906	1
199	0.1263015367	1
200	0.1243789557	1
201	0.1226263976	1
202	0.1222275669	1
203	0.1214446695	1
204	0.1210037891	1
205	0.1181771893	1
206	0.1178850167	1
207	0.1175006574	1
208	0.1172315624	1
209	0.1162926719	1
210	0.1160151403	1
211	0.1151261143	1
212	0.1143635991	1
213	0.1124375359	1
214	0.1114260244	1
215	0.1097762774	1
216	0.1093168475	1
217	0.1090600238	1
218	0.1072782044	1
219	0.1070179527	1
220	0.1062558021	1
221	0.105789366	1
222	0.10548308	1
223	0.1037324169	1
224	0.1034975898	1
225	0.1030652824	1
226	0.1015550963	1
227	0.1009614401	1
228	0.1005091581	1
229	0.1001054295	1
230	0.09854766801	1
231	0.09700243968	1
232	0.09570741667	1
233	0.09537069568	1
234	0.09509994131	1
235	0.0947961432	1
236	0.09401498525	1
237	0.09381856378	1
238	0.09351472189	1
239	0.09211946484	1
240	0.09173203628	1
241	0.09143382067	1
242	0.09014652193	1
243	0.08986253473	1
244	0.08894816039	1
245	0.08762361411	1
246	0.0869415808	1
247	0.0865914286	1
248	0.08615118598	1
249	0.08557016533	1
250	0.08528654145	1
251	0.08377640945	1
252	0.08342038177	1
253	0.08257992863	1
254	0.08144380866	1
255	0.08119849846	1
256	0.08004287673	1
257	0.07973775347	1
258	0.07953914044	1
259	0.07851839688	1
260	0.0774489906	1
261	0.07672937953	1
262	0.07641335511	1
263	0.07622546723	1
264	0.0759085382	1
265	0.07522095308	1
266	0.07420731005	1
267	0.07381790415	1
268	0.07351868769	1
269	0.07258488486	1
270	0.07241038851	1
271	0.07142216804	1
272	0.07047505834	1
273	0.06982238512	1
274	0.06924436469	1
275	0.06893920273	1
276	0.0685017785	1
277	0.06765280358	1
278	0.0667960355	1
