iter	Logloss	Accuracy
0	0.6806006307	0.7464788732
1	0.6665106642	0.8028169014
2	0.6526755532	0.8732394366
3	0.6405251124	0.8309859155
4	0.6269826857	0.8309859155
5	0.6147829936	0.8591549296
6	0.6058120721	0.8450704225
7	0.592544217	0.8591549296
8	0.5820324886	0.8450704225
9	0.5692787841	0.8450704225
10	0.5602916657	0.8873239437
11	0.5488180395	0.8732394366
12	0.5400471841	0.8873239437
13	0.5329468327	0.8732394366
14	0.518385212	0.8732394366
15	0.5138410486	0.8732394366
16	0.5073014805	0.8591549296
17	0.5018049774	0.8732394366
18	0.4982541823	0.8732394366
19	0.4924737064	0.8732394366
20	0.4860747424	0.9014084507
21	0.4799400433	0.8873239437
22	0.4748216159	0.8591549296
23	0.4685295772	0.8873239437
24	0.4632334546	0.8873239437
25	0.4583391592	0.8873239437
26	0.4490771525	0.8873239437
27	0.4421686308	0.8873239437
28	0.4376191702	0.8873239437
29	0.4350666908	0.8873239437
30	0.428338668	0.8873239437
31	0.4234615579	0.8873239437
32	0.4113735806	0.9014084507
33	0.4084842657	0.9014084507
34	0.4044462753	0.9014084507
35	0.399285315	0.9295774648
36	0.3975874902	0.9295774648
37	0.3918909589	0.9295774648
38	0.3878156662	0.9295774648
39	0.3841842163	0.9295774648
40	0.3782802145	0.9295774648
41	0.3752602172	0.9295774648
42	0.3728459063	0.9295774648
43	0.3672648232	0.9154929577
44	0.3656172977	0.9295774648
45	0.3626361965	0.9295774648
46	0.3594626265	0.9295774648
47	0.358125999	0.9295774648
48	0.3565563938	0.9295774648
49	0.3547432586	0.9295774648
50	0.3537397692	0.9295774648
51	0.3506301498	0.9295774648
52	0.3450241988	0.9295774648
53	0.3439796001	0.9295774648
54	0.3418235477	0.9295774648
55	0.3383271063	0.9436619718
56	0.3339080248	0.9436619718
57	0.3321272451	0.9577464789
58	0.328891257	0.9577464789
59	0.3276135713	0.9577464789
60	0.3260463966	0.9718309859
61	0.3230283695	0.9718309859
62	0.3215992595	0.9718309859
63	0.3175910525	0.9718309859
64	0.3162806737	0.9718309859
65	0.3132232351	0.9718309859
66	0.3113134438	0.9718309859
67	0.3102445159	0.9718309859
68	0.3078597691	0.9718309859
69	0.3072220811	0.9718309859
70	0.3057319705	0.9718309859
71	0.3037548619	0.9718309859
72	0.3027187637	0.9718309859
73	0.3017485064	0.985915493
74	0.3007183614	0.985915493
75	0.298748066	0.985915493
76	0.2982456411	0.985915493
77	0.2974549679	0.985915493
78	0.2959896761	0.985915493
79	0.2942944911	0.985915493
80	0.2917853934	0.985915493
81	0.2909863948	0.985915493
82	0.2887052773	0.985915493
83	0.2874324211	0.985915493
84	0.2864275177	0.985915493
85	0.2851456213	0.985915493
86	0.282966424	0.985915493
87	0.2784437433	0.985915493
88	0.2777832053	0.985915493
89	0.276621566	0.985915493
90	0.2748822929	0.985915493
91	0.2731554577	0.985915493
92	0.2725196747	0.985915493
93	0.2698186656	0.985915493
94	0.2686978826	0.985915493
95	0.2659278378	0.985915493
96	0.2653433084	0.985915493
97	0.2637595318	0.985915493
98	0.2607694855	0.985915493
99	0.2582370129	0.985915493
100	0.2572877249	0.985915493
101	0.2567956706	0.985915493
102	0.2562355151	0.985915493
103	0.253224924	0.985915493
104	0.2524106255	0.985915493
105	0.2516357715	0.985915493
106	0.2504504985	0.985915493
107	0.249906275	0.985915493
108	0.2488267027	0.985915493
109	0.2480678637	0.985915493
110	0.2476560181	0.985915493
111	0.2444993782	0.985915493
112	0.2432561065	0.985915493
113	0.2420033845	0.985915493
114	0.2406777028	0.985915493
115	0.2393502578	0.985915493
116	0.2349000593	0.985915493
117	0.2325595887	0.985915493
118	0.2314937062	0.985915493
119	0.2294948249	0.985915493
120	0.228110635	0.985915493
121	0.2274463952	0.985915493
122	0.2269142993	0.985915493
123	0.2258035531	0.985915493
124	0.2248605717	0.985915493
125	0.2238604975	1
126	0.2232071929	1
127	0.2207287972	1
128	0.2199090541	1
129	0.2185168001	1
130	0.2163470956	1
131	0.2141149888	1
132	0.2119954579	1
133	0.2112897228	1
134	0.2074670885	1
135	0.2062286077	1
136	0.2039437208	1
137	0.1997855855	1
138	0.1976917189	1
139	0.1965289785	1
140	0.195926713	1
141	0.1930112627	1
142	0.1904056845	1
143	0.189116276	1
144	0.1884417385	1
145	0.1881175508	1
146	0.1875216354	1
147	0.1858380314	1
148	0.1828945255	1
149	0.1823055609	1
150	0.1816652609	1
151	0.1783143298	1
152	0.1778054251	1
153	0.1773226581	1
154	0.1765247291	1
155	0.1760367926	1
156	0.1754535036	1
157	0.1741885851	1
158	0.1714513062	1
159	0.1700094361	1
160	0.1689025094	1
161	0.1683465144	1
162	0.1667688334	1
163	0.1631510784	1
164	0.1602575431	1
165	0.1586259493	1
166	0.1563147326	1
167	0.1549463947	1
168	0.1544386937	1
169	0.1526072694	1
170	0.1520902063	1
171	0.1516858771	1
172	0.1511012059	1
173	0.1479005685	1
174	0.1468910972	1
175	0.1464752995	1
176	0.1457268308	1
177	0.1453035837	1
178	0.1423771734	1
179	0.1419790198	1
180	0.1413685944	1
181	0.139268825	1
182	0.138645036	1
183	0.1364113914	1
184	0.1339052219	1
185	0.1334865372	1
186	0.1324399704	1
187	0.1318050662	1
188	0.1300747903	1
189	0.129523988	1
190	0.129089606	1
191	0.1278970549	1
192	0.1273968204	1
193	0.1267576112	1
194	0.1247273888	1
195	0.1224702817	1
196	0.1204800761	1
197	0.1199900341	1
198	0.1195153838	1
199	0.119143682	1
200	0.1180585432	1
201	0.1157880129	1
202	0.1152383499	1
203	0.1137579879	1
204	0.1133178189	1
205	0.1123957394	1
206	0.1109031758	1
207	0.1096086537	1
208	0.1093475106	1
209	0.1090809877	1
210	0.1086031666	1
211	0.1066017747	1
212	0.1050488521	1
213	0.1046619916	1
214	0.1032381385	1
215	0.1028210399	1
216	0.1024197148	1
217	0.1021808619	1
218	0.101427245	1
219	0.09944205451	1
220	0.09782951924	1
221	0.09738762726	1
222	0.09710523754	1
223	0.09662504816	1
224	0.09570541448	1
225	0.09396558159	1
226	0.09375325369	1
227	0.0925914182	1
228	0.09238442608	1
229	0.09209001625	1
230	0.09068785201	1
231	0.09045109238	1
232	0.08872240769	1
233	0.08842166757	1
234	0.0882081876	1
235	0.08789952655	1
