iter	Passed	Remaining
0	7	7251
1	11	5770
2	16	5411
3	20	5105
4	24	4935
5	29	4811
6	33	4780
7	38	4729
8	42	4657
9	47	4663
10	52	4701
11	57	4728
12	61	4697
13	67	4725
14	71	4697
15	76	4692
16	81	4687
17	85	4670
18	90	4694
19	95	4673
20	99	4651
21	104	4651
22	108	4627
23	113	4611
24	117	4586
25	121	4566
26	126	4560
27	130	4534
28	135	4524
29	139	4512
30	143	4490
31	147	4472
32	152	4455
33	156	4450
34	159	4398
35	164	4396
36	168	4396
37	173	4397
38	178	4405
39	183	4399
40	188	4404
41	193	4420
42	199	4430
43	204	4438
44	209	4450
45	214	4447
46	219	4451
47	225	4472
48	231	4494
49	237	4508
50	242	4516
51	247	4512
52	253	4523
53	258	4531
54	263	4527
55	269	4545
56	271	4495
57	277	4513
58	283	4514
59	288	4516
60	293	4512
61	298	4511
62	303	4521
63	309	4527
64	317	4571
65	323	4584
66	329	4595
67	337	4623
68	343	4631
69	348	4627
70	354	4641
71	360	4643
72	365	4643
73	371	4649
74	376	4649
75	382	4652
76	387	4649
77	393	4647
78	399	4652
79	401	4612
80	404	4594
81	411	4601
82	417	4612
83	422	4608
84	429	4625
85	435	4625
86	441	4635
87	497	5157
88	503	5154
89	509	5155
90	518	5175
91	524	5180
92	531	5178
93	539	5198
94	545	5196
95	551	5195
96	557	5193
97	560	5161
98	566	5152
99	572	5155
100	581	5174
101	590	5201
102	597	5202
103	604	5205
104	609	5192
105	614	5181
106	620	5180
107	626	5172
108	631	5160
109	637	5159
110	643	5156
111	649	5151
112	655	5144
113	660	5131
114	665	5123
115	670	5113
116	676	5103
117	682	5103
118	688	5098
119	694	5089
120	699	5079
121	704	5073
122	709	5060
123	714	5049
124	719	5036
125	721	5003
126	726	4992
127	731	4980
128	736	4972
129	748	5011
130	753	4998
131	758	4990
132	763	4979
133	769	4972
134	774	4961
135	779	4953
136	785	4945
137	790	4937
138	796	4932
139	800	4919
140	805	4909
141	822	4969
142	827	4958
143	832	4946
144	836	4934
145	842	4929
146	847	4917
147	852	4905
148	856	4893
