iter	Passed	Remaining
0	8	8056
1	13	6785
2	19	6475
3	25	6409
4	31	6341
5	37	6272
6	43	6124
7	48	6072
8	55	6129
9	71	7076
10	77	6929
11	82	6830
12	90	6856
13	96	6788
14	102	6733
15	108	6677
16	114	6645
17	120	6590
18	126	6535
19	128	6306
20	135	6301
21	140	6256
22	146	6243
23	153	6240
24	159	6219
25	165	6209
26	171	6172
27	178	6183
28	183	6146
29	189	6116
30	195	6113
31	202	6116
32	209	6134
33	215	6124
34	222	6141
35	229	6154
36	236	6148
37	243	6153
38	249	6151
39	255	6141
40	262	6132
41	267	6111
42	274	6102
43	279	6077
44	285	6055
45	296	6148
46	302	6125
47	308	6116
48	314	6097
49	320	6087
50	349	6496
51	355	6477
52	364	6514
53	630	11052
54	808	13896
55	815	13738
56	820	13577
57	827	13433
58	833	13287
59	839	13155
60	845	13016
61	851	12887
62	857	12757
63	863	12628
64	869	12508
65	876	12399
66	883	12299
67	889	12195
68	895	12083
69	902	11985
70	908	11885
71	915	11794
72	921	11703
73	928	11612
74	934	11519
75	938	11415
76	945	11337
77	957	11316
78	965	11260
79	972	11182
80	978	11106
81	986	11044
82	993	10981
83	1001	10924
84	1009	10862
85	1017	10811
86	1023	10736
87	1029	10664
88	1036	10605
89	1044	10557
90	1051	10502
91	1058	10450
92	1066	10401
93	1074	10358
94	1082	10314
95	1088	10254
96	1095	10202
97	1102	10148
98	1110	10108
99	1117	10059
100	1124	10007
101	1129	9944
102	1136	9900
103	1144	9857
104	1150	9808
105	1157	9763
106	1164	9721
107	1171	9676
108	1177	9627
109	1183	9579
110	1189	9527
111	1195	9478
112	1201	9433
113	1214	9439
114	1226	9437
115	1233	9399
116	1240	9362
117	1247	9321
118	1252	9276
119	1259	9238
120	1266	9202
121	1274	9169
122	1281	9134
123	1287	9097
124	1295	9066
125	1302	9032
126	1309	8999
127	1316	8968
128	1328	8967
129	1336	8943
130	1345	8924
131	1351	8888
132	1357	8851
133	1365	8825
134	1373	8797
135	1380	8773
136	1387	8740
137	1393	8705
138	1407	8715
139	1413	8680
140	1419	8648
141	1426	8616
142	1432	8586
143	1439	8559
144	1446	8529
145	1453	8500
146	1460	8475
147	1467	8450
148	1475	8427
149	1482	8402
150	1490	8377
151	1497	8353
152	1504	8328
153	1510	8297
154	1517	8274
155	1524	8249
156	1531	8224
157	1538	8197
158	1545	8174
159	1552	8150
160	1559	8127
161	1564	8092
162	1571	8070
163	1578	8044
164	1583	8015
165	1590	7991
166	1598	7972
167	1604	7947
168	1611	7923
169	1618	7900
170	1626	7883
171	1635	7871
172	1642	7849
173	1648	7827
174	1655	7802
175	1662	7785
176	1669	7761
177	1676	7740
178	1683	7719
179	1688	7693
180	1694	7668
181	1700	7644
182	1707	7623
183	1714	7603
184	1721	7583
185	1728	7563
186	1734	7541
187	1741	7521
188	1747	7499
189	1754	7480
190	1761	7459
191	1767	7438
192	1797	7516
193	1815	7543
194	1822	7525
195	2014	8262
196	2136	8709
197	2144	8684
198	2151	8659
199	2159	8638
200	2166	8612
201	2173	8588
202	2180	8559
203	2187	8534
204	2193	8508
205	2200	8482
206	2207	8456
207	2215	8434
208	2231	8445
209	2239	8423
210	2247	8404
211	2255	8381
212	2262	8358
213	2268	8332
214	2275	8306
215	2280	8278
216	2287	8254
217	2294	8229
218	2301	8206
219	2307	8182
220	2315	8161
221	2322	8138
222	2329	8115
223	2336	8093
224	2344	8075
225	2352	8057
226	2359	8034
227	2366	8013
228	2374	7992
229	2381	7973
230	2388	7950
231	2394	7927
232	2402	7909
233	2425	7940
234	2433	7921
235	2440	7899
236	2447	7878
237	2453	7856
238	2460	7836
239	2467	7814
240	2473	7791
241	2480	7768
242	2485	7744
243	2492	7723
244	2498	7698
245	2504	7677
246	2511	7655
247	2517	7632
248	2523	7610
249	2529	7589
250	2536	7569
251	2542	7547
252	2548	7525
253	2554	7502
254	2560	7480
255	2566	7459
256	2573	7439
257	2578	7416
258	2600	7439
259	2606	7417
260	2612	7396
261	2618	7374
262	2624	7353
263	2629	7331
264	2635	7310
265	2641	7290
266	2647	7269
267	2654	7249
268	2659	7228
269	2665	7208
270	2671	7186
271	2677	7165
272	2682	7144
273	2688	7124
274	2695	7106
275	2702	7088
276	2708	7068
277	2714	7048
278	2720	7029
279	2726	7011
280	2732	6992
281	2739	6976
282	2746	6957
283	2752	6938
284	2758	6920
285	2765	6903
286	2770	6882
287	2776	6864
288	2783	6847
289	2789	6830
290	2796	6813
291	2802	6795
292	2807	6775
293	2814	6757
294	2821	6742
295	2827	6724
296	2835	6710
297	2841	6694
298	2848	6677
299	2855	6662
300	2863	6649
301	2868	6630
302	2875	6615
303	2883	6601
304	2890	6585
305	2896	6569
306	2903	6553
307	2909	6536
308	2915	6518
309	2921	6502
310	2927	6486
311	2934	6469
312	2939	6452
313	2957	6462
314	2964	6445
315	2970	6429
316	2976	6413
317	2982	6395
318	2987	6378
319	2993	6361
320	3000	6346
321	3006	6330
322	3012	6314
323	3018	6297
324	3024	6281
325	3030	6266
326	3037	6251
327	3043	6235
328	3049	6219
329	3054	6201
330	3060	6186
331	3068	6173
332	3074	6158
333	3080	6142
334	3086	6127
335	3092	6112
336	3102	6104
337	3273	6411
338	3280	6397
339	3455	6707
340	3576	6912
341	3583	6894
342	3590	6876
343	3605	6875
344	3618	6869
345	3627	6857
346	3637	6845
347	3644	6828
348	3651	6810
349	3658	6793
350	3663	6774
351	3669	6755
352	3675	6735
353	3681	6717
354	3687	6699
355	3694	6682
356	3700	6664
357	3706	6647
358	3712	6627
359	3718	6610
360	3724	6592
361	3730	6574
362	3736	6557
363	3743	6540
364	3748	6522
365	3755	6505
366	3762	6490
367	3769	6473
368	3776	6457
369	3783	6442
370	3790	6426
371	3797	6411
372	3804	6396
373	3812	6381
374	3820	6367
375	3827	6351
376	3834	6337
377	3841	6320
378	3847	6304
379	3853	6286
380	3858	6268
381	3865	6252
382	3871	6237
383	3878	6221
384	3884	6205
385	3891	6189
386	3896	6172
387	3902	6155
388	3908	6138
389	3914	6122
390	3920	6106
391	3926	6090
392	3933	6075
393	3939	6059
394	3946	6044
395	3974	6062
396	3985	6053
397	3992	6039
398	4000	6025
399	4008	6012
400	4016	5999
401	4022	5983
402	4028	5967
403	4035	5953
404	4043	5939
405	4049	5924
406	4057	5911
407	4064	5897
408	4071	5883
409	4077	5868
410	4085	5854
411	4092	5840
412	4099	5826
413	4106	5812
414	4114	5800
415	4121	5786
416	4127	5770
417	4134	5756
418	4141	5742
419	4148	5728
420	4154	5713
421	4160	5699
422	4167	5684
423	4173	5670
424	4180	5655
425	4186	5640
426	4192	5625
427	4199	5611
428	4205	5597
429	4212	5584
430	4219	5570
431	4225	5556
432	4232	5542
433	4238	5527
434	4245	5514
435	4251	5499
436	4257	5485
437	4264	5471
438	4270	5457
439	4277	5443
440	4283	5429
441	4289	5415
442	4296	5401
443	4302	5387
444	4309	5374
445	4315	5360
446	4322	5347
447	4328	5333
448	4334	5319
449	4341	5305
450	4347	5291
451	4354	5279
452	4361	5266
453	4367	5252
454	4374	5239
455	4380	5225
456	4386	5212
457	4392	5198
458	4399	5185
459	4406	5173
460	4413	5160
461	4419	5146
462	4426	5133
463	4433	5120
464	4439	5107
465	4445	5094
466	4452	5081
467	4459	5069
468	4465	5055
469	4471	5042
470	4478	5029
471	4485	5017
472	4491	5004
473	4498	4992
474	4505	4979
475	4511	4966
476	4518	4953
477	4525	4941
478	4532	4930
479	4563	4943
480	4573	4934
481	4682	5032
482	5002	5354
483	5009	5341
484	5016	5326
485	5022	5311
486	5029	5297
487	5035	5283
488	5042	5269
489	5050	5256
490	5057	5243
491	5064	5229
492	5072	5216
493	5079	5202
494	5086	5189
495	5092	5174
496	5099	5160
497	5105	5146
498	5112	5133
499	5119	5119
500	5125	5105
501	5134	5093
502	5140	5079
503	5146	5064
504	5152	5050
505	5158	5036
506	5166	5023
507	5174	5011
508	5180	4997
509	5187	4983
510	5194	4970
511	5200	4957
512	5207	4943
513	5213	4929
514	5221	4917
515	5227	4903
516	5235	4890
517	5242	4877
518	5248	4864
519	5255	4851
520	5262	4838
521	5269	4825
522	5275	4811
523	5282	4798
524	5289	4786
525	5296	4772
526	5302	4759
527	5310	4746
528	5316	4733
529	5323	4720
530	5329	4707
531	5335	4693
532	5342	4681
533	5349	4667
534	5355	4655
535	5361	4641
536	5368	4628
537	5376	4616
538	5382	4603
539	5388	4590
540	5394	4577
541	5401	4564
542	5408	4552
543	5415	4539
544	5422	4526
545	5429	4514
546	5435	4501
547	5442	4488
548	5448	4475
549	5453	4462
550	5459	4448
551	5465	4435
552	5471	4422
553	5478	4410
554	5484	4397
555	5491	4385
556	5497	4372
557	5504	4359
558	5510	4347
559	5517	4334
560	5524	4322
561	5531	4310
562	5537	4298
563	5544	4285
564	5552	4274
565	5559	4262
566	5566	4250
567	5575	4240
568	5583	4228
569	5590	4217
570	5596	4204
571	5603	4193
572	5610	4180
573	5617	4168
574	5623	4156
575	5631	4145
576	5638	4133
577	5645	4122
578	5652	4110
579	5661	4099
580	5668	4088
581	5674	4075
