iter	Passed	Remaining
0	8	8013
1	15	7568
2	18	6161
3	25	6285
4	32	6393
5	38	6423
6	44	6338
7	49	6158
8	56	6238
9	63	6269
10	70	6325
11	77	6342
12	83	6355
13	94	6690
14	101	6687
15	108	6664
16	114	6628
17	120	6582
18	126	6557
19	132	6514
20	139	6494
21	145	6482
22	151	6445
23	157	6424
24	164	6426
25	171	6406
26	178	6417
27	184	6409
28	192	6429
29	207	6723
30	214	6698
31	219	6651
32	227	6653
33	234	6649
34	240	6626
35	246	6590
36	251	6552
37	259	6571
38	266	6569
39	273	6557
40	279	6543
41	285	6503
42	291	6491
43	298	6475
44	304	6468
45	311	6459
46	329	6672
47	336	6674
48	343	6657
49	350	6650
50	360	6699
51	366	6679
52	377	6737
53	752	13187
54	759	13050
55	767	12934
56	774	12819
57	781	12689
58	789	12596
59	796	12474
60	805	12401
61	813	12306
62	821	12212
63	828	12111
64	835	12021
65	842	11928
66	850	11838
67	856	11745
68	863	11650
69	869	11552
70	875	11459
71	881	11364
72	887	11267
73	893	11178
74	899	11098
75	906	11016
76	911	10926
77	916	10839
78	923	10765
79	929	10692
80	937	10639
81	944	10573
82	951	10507
83	957	10436
84	962	10358
85	968	10288
86	973	10221
87	979	10147
88	984	10077
89	986	9979
90	992	9911
91	997	9848
92	1001	9770
93	1007	9706
94	1012	9644
95	1018	9588
96	1023	9528
97	1029	9473
98	1034	9416
99	1040	9362
100	1045	9304
101	1051	9260
102	1056	9203
103	1063	9160
104	1068	9110
105	1074	9063
106	1080	9014
107	1085	8967
108	1091	8924
109	1097	8882
110	1102	8831
111	1108	8787
112	1113	8741
113	1119	8698
114	1126	8666
115	1132	8633
116	1138	8589
117	1143	8548
118	1149	8507
119	1155	8470
120	1160	8430
121	1165	8387
122	1171	8349
123	1176	8312
124	1182	8278
125	1187	8239
126	1194	8210
127	1199	8171
128	1204	8133
129	1209	8094
130	1214	8059
131	1221	8030
132	1228	8006
133	1234	7980
134	1251	8017
135	1256	7984
136	1262	7953
137	1268	7924
138	1274	7896
139	1280	7866
140	1286	7838
141	1292	7808
142	1299	7786
143	1319	7845
144	1326	7821
145	1336	7819
146	1342	7789
147	1349	7770
148	1356	7748
149	1362	7721
150	1369	7697
151	1374	7668
152	1380	7643
153	1386	7615
154	1391	7587
155	1396	7556
156	1402	7530
157	1408	7504
158	1427	7549
159	1432	7522
160	1438	7494
161	1443	7468
162	1449	7441
163	1454	7415
164	1459	7387
165	1466	7365
166	1471	7341
167	1477	7317
168	1482	7292
169	1488	7267
170	1493	7242
171	1498	7215
172	1503	7187
173	1509	7165
174	1514	7141
175	1519	7116
176	1525	7091
177	1529	7065
178	1535	7043
179	1541	7020
180	1546	6999
181	1571	7063
182	1576	7038
183	1581	7013
184	1586	6990
185	1591	6965
186	1596	6942
187	1617	6984
188	1622	6961
189	1627	6938
190	1632	6914
191	1637	6890
192	1641	6865
193	1647	6843
194	1652	6822
195	1657	6798
196	1662	6775
197	1668	6757
198	1673	6736
199	1678	6715
200	1684	6694
201	1689	6675
202	1695	6657
203	1701	6639
204	1707	6620
205	1712	6600
206	1717	6579
207	1823	6943
208	1830	6926
209	1835	6905
210	1841	6886
211	1847	6866
212	1853	6847
213	1859	6830
214	1865	6811
215	1872	6794
216	1877	6774
217	1883	6754
218	1888	6734
219	1894	6718
220	1899	6697
221	1905	6679
222	1912	6662
223	1917	6643
224	1923	6624
225	1928	6604
226	1933	6582
227	1938	6562
228	1944	6545
229	1950	6528
230	1955	6511
231	1961	6491
232	1965	6470
233	1970	6449
234	1974	6429
235	1980	6410
236	1985	6391
237	1990	6373
238	1995	6354
239	2000	6335
240	2006	6319
241	2011	6299
242	2016	6280
243	2021	6263
244	2025	6243
245	2031	6225
246	2036	6208
247	2042	6194
248	2048	6178
249	2068	6204
250	2074	6190
251	2080	6175
252	2086	6160
253	2091	6144
254	2097	6128
255	2102	6110
256	2108	6096
257	2114	6079
258	2120	6065
259	2125	6048
260	2130	6033
261	2136	6018
262	2154	6037
263	2159	6020
264	2164	6004
265	2170	5990
266	2177	5976
267	2183	5963
268	2188	5948
269	2193	5930
270	2200	5918
271	2204	5901
272	2209	5884
273	2216	5871
274	2221	5856
275	2226	5841
276	2233	5829
277	2240	5818
278	2246	5806
279	2252	5792
280	2262	5789
281	2268	5776
282	2274	5762
283	2280	5750
284	2286	5735
285	2292	5722
286	2298	5710
287	2304	5697
288	2310	5683
289	2315	5668
290	2320	5654
291	2325	5639
292	2332	5627
293	2338	5616
294	2345	5604
295	2351	5591
296	2356	5578
297	2362	5566
298	2367	5551
299	2373	5537
300	2378	5522
301	2387	5518
302	2393	5506
303	2399	5492
304	2404	5479
305	2409	5465
306	2415	5451
307	2420	5437
308	2425	5424
309	2430	5410
310	2436	5397
311	2440	5382
312	2446	5369
313	2450	5354
314	2455	5340
315	2461	5327
316	2466	5314
317	2482	5324
318	2487	5311
319	2492	5297
320	2497	5283
321	2503	5270
322	2507	5256
323	2513	5243
324	2534	5263
325	2539	5250
326	2544	5236
327	2549	5222
328	2554	5209
329	2559	5195
330	2563	5181
331	2568	5168
332	2574	5155
333	2578	5142
334	2584	5130
335	2590	5118
336	2594	5104
337	2599	5090
338	2603	5077
339	2609	5064
340	2614	5052
341	2619	5039
342	2626	5030
343	2631	5017
344	2636	5005
345	2641	4993
346	2646	4980
347	2651	4968
348	2672	4984
349	2677	4972
350	2682	4959
351	2687	4947
352	2693	4935
353	2698	4924
354	2704	4913
355	2709	4902
356	2715	4890
357	2721	4880
358	2727	4869
359	2732	4857
360	2737	4845
361	2742	4833
362	2748	4823
363	2754	4813
364	2759	4801
365	2765	4791
366	2771	4780
367	2776	4768
368	2786	4765
369	2795	4759
370	2902	4921
371	2909	4911
372	2916	4903
373	2925	4896
374	2933	4889
375	2941	4881
376	2948	4872
377	2959	4869
378	2975	4875
379	2980	4863
380	2988	4854
381	2994	4844
382	3000	4833
383	3020	4844
384	3027	4836
385	3034	4826
386	3040	4815
387	3047	4806
388	3053	4796
389	3060	4787
390	3068	4779
391	3081	4780
392	3096	4782
393	3101	4770
394	3106	4757
395	3113	4748
396	3119	4737
397	3124	4725
398	3129	4713
399	3134	4701
400	3140	4690
401	3144	4678
402	3150	4667
403	3155	4655
404	3160	4642
405	3164	4629
406	3169	4617
407	3174	4606
408	3179	4594
409	3184	4582
410	3193	4575
411	3198	4565
412	3203	4553
413	3209	4542
414	3213	4530
415	3219	4518
416	3223	4507
417	3229	4496
418	3234	4485
419	3239	4473
420	3245	4464
421	3251	4453
422	3256	4442
423	3263	4433
424	3268	4422
425	3274	4411
426	3279	4401
427	3284	4389
428	3291	4381
429	3298	4371
430	3303	4361
431	3310	4352
432	3316	4342
433	3321	4332
434	3327	4321
435	3331	4309
436	3336	4297
437	3342	4288
438	3347	4278
439	3353	4267
440	3358	4256
441	3363	4245
442	3368	4234
443	3373	4224
444	3378	4213
445	3383	4203
446	3391	4195
447	3396	4185
448	3402	4175
449	3408	4165
450	3413	4155
451	3420	4147
452	3426	4137
453	3433	4128
454	3439	4119
455	3446	4111
456	3452	4102
457	3459	4093
458	3465	4084
459	3471	4075
460	3479	4068
461	3486	4060
462	3493	4051
463	3501	4045
464	3507	4035
465	3514	4027
466	3520	4017
467	3527	4009
468	3535	4002
469	3542	3994
470	3549	3986
471	3554	3976
472	3560	3967
473	3567	3959
474	3573	3949
475	3579	3940
476	3585	3931
477	3591	3922
478	3597	3912
479	3602	3902
480	3608	3893
481	3614	3884
482	3619	3874
483	3625	3865
484	3637	3862
485	3643	3853
486	3650	3845
487	3656	3836
488	3663	3828
489	3670	3819
490	3676	3811
491	3682	3802
492	3689	3794
493	3695	3785
494	3702	3777
495	3709	3769
496	3716	3761
497	3722	3752
498	3728	3743
499	3735	3735
500	3741	3726
501	3748	3718
502	3755	3710
503	3762	3702
504	3768	3694
505	3775	3685
506	3782	3677
507	3789	3669
508	3796	3661
509	3803	3654
510	3810	3646
511	3815	3636
512	3821	3627
513	3827	3619
514	3834	3610
515	3840	3601
516	3846	3593
517	3868	3599
518	3873	3589
519	3877	3579
520	3882	3569
521	3927	3596
522	3964	3615
523	3969	3606
524	3974	3596
525	3980	3586
526	3985	3577
527	3990	3567
528	3995	3557
529	4000	3547
530	4006	3538
531	4011	3529
532	4016	3519
533	4021	3509
534	4027	3500
535	4033	3491
536	4039	3482
537	4044	3473
538	4050	3464
539	4057	3456
540	4063	3447
541	4068	3437
542	4073	3428
543	4078	3419
544	4084	3409
545	4089	3400
546	4094	3390
547	4099	3381
548	4105	3372
549	4111	3363
550	4117	3355
551	4122	3346
552	4128	3337
553	4133	3327
554	4140	3319
555	4146	3310
556	4151	3301
557	4156	3292
558	4163	3284
559	4168	3275
560	4174	3266
561	4180	3257
562	4185	3248
563	4191	3239
564	4196	3231
565	4203	3223
566	4209	3214
567	4221	3210
568	4227	3201
569	4233	3193
570	4239	3185
571	4245	3176
572	4250	3167
573	4256	3158
574	4261	3149
575	4268	3141
576	4273	3133
577	4278	3123
578	4285	3115
579	4292	3108
580	4299	3100
581	4306	3092
582	4313	3085
583	4318	3076
584	4324	3067
585	4330	3059
586	4336	3051
587	4342	3042
588	4349	3034
589	4356	3027
590	4363	3019
591	4371	3012
592	4377	3004
593	4386	2998
594	4394	2990
595	4401	2983
596	4408	2975
597	4415	2968
598	4425	2962
599	4432	2954
600	4438	2946
601	4445	2938
602	4451	2930
603	4457	2922
604	4464	2914
605	4470	2906
606	4477	2899
607	4483	2890
608	4489	2882
609	4495	2874
610	4502	2866
611	4508	2858
612	4515	2850
613	4526	2845
614	4532	2837
615	4538	2829
616	4544	2820
617	4549	2812
618	4555	2803
619	4560	2795
620	4565	2786
621	4571	2778
622	4577	2769
623	4582	2761
624	4587	2752
625	4593	2744
626	4598	2735
627	4603	2727
628	4609	2718
629	4615	2710
630	4621	2702
631	4626	2693
632	4632	2685
633	4637	2677
634	4642	2668
635	4647	2659
636	4652	2651
637	4657	2642
638	4661	2633
639	4667	2625
640	4673	2617
641	4678	2609
642	4684	2600
643	4689	2592
644	4694	2583
645	4700	2575
646	4706	2567
647	4711	2559
648	4718	2551
649	4724	2543
650	4742	2542
651	4747	2534
652	4752	2525
653	4758	2517
654	4763	2509
655	4769	2500
656	4774	2492
657	4780	2484
658	4785	2476
659	4790	2467
660	4795	2459
661	4800	2451
662	4806	2443
663	4814	2436
664	4819	2428
665	4825	2419
666	4830	2411
667	4836	2403
668	4842	2395
669	4848	2387
670	4853	2379
671	4858	2371
672	4863	2363
673	4869	2355
674	4874	2347
675	4879	2338
676	4885	2330
677	4889	2322
678	4895	2314
679	4900	2306
680	4906	2298
681	4926	2297
682	4932	2289
683	5044	2330
684	5050	2322
685	5056	2314
686	5061	2306
687	5066	2297
688	5071	2288
689	5076	2280
690	5082	2272
691	5087	2264
692	5092	2255
693	5097	2247
694	5101	2238
695	5107	2230
696	5113	2223
697	5119	2215
698	5126	2207
699	5133	2199
700	5138	2191
701	5144	2183
702	5153	2177
703	5159	2169
704	5165	2161
705	5179	2156
706	5184	2148
707	5189	2140
708	5193	2131
709	5199	2123
710	5203	2115
711	5208	2106
712	5213	2098
713	5219	2090
714	5223	2082
715	5229	2074
716	5234	2066
717	5239	2057
718	5244	2049
719	5248	2041
720	5252	2032
721	5257	2024
722	5262	2016
723	5269	2008
724	5274	2000
725	5280	1992
726	5285	1984
727	5291	1976
728	5298	1969
729	5303	1961
730	5308	1953
731	5313	1945
732	5319	1937
733	5325	1929
734	5342	1926
735	5349	1918
736	5355	1911
737	5361	1903
738	5367	1895
739	5373	1888
740	5379	1880
741	5385	1872
742	5391	1864
743	5397	1857
744	5403	1849
745	5409	1841
746	5416	1834
747	5422	1826
748	5427	1818
749	5433	1811
750	5438	1803
751	5444	1795
752	5450	1787
753	5456	1780
754	5462	1772
755	5469	1765
756	5474	1757
757	5480	1749
758	5486	1742
759	5491	1734
760	5497	1726
761	5502	1718
762	5507	1710
763	5513	1703
764	5518	1695
765	5524	1687
766	5529	1679
767	5534	1671
768	5539	1664
769	5545	1656
770	5550	1648
771	5555	1640
772	5561	1633
773	5566	1625
774	5571	1617
775	5576	1609
776	5581	1601
777	5586	1594
778	5592	1586
779	5599	1579
780	5605	1571
781	5610	1564
782	5616	1556
783	5621	1548
784	5626	1541
785	5632	1533
786	5643	1527
787	5654	1521
788	5662	1514
789	5668	1506
790	5674	1499
791	5680	1491
792	5688	1484
793	5693	1477
794	5699	1469
795	5704	1462
796	5710	1454
797	5716	1447
798	5722	1439
799	5730	1432
800	5737	1425
801	5743	1417
802	5748	1410
803	5754	1402
804	5759	1395
805	5764	1387
806	5769	1379
807	5774	1372
808	5779	1364
809	5784	1356
810	5790	1349
811	5796	1342
812	5802	1334
813	5808	1327
814	5813	1319
815	5819	1312
816	5825	1304
817	5831	1297
818	5836	1289
819	5845	1283
820	5851	1275
821	5857	1268
822	5862	1260
823	5868	1253
824	5874	1246
825	5881	1238
826	5886	1231
827	5893	1224
828	5899	1216
829	5906	1209
830	5912	1202
831	5917	1194
832	5922	1187
833	5942	1182
834	5949	1175
835	5955	1168
836	5961	1160
837	5966	1153
838	5971	1145
839	5977	1138
840	5983	1131
841	5989	1123
842	5994	1116
843	5999	1108
844	6014	1103
845	6045	1100
846	6052	1093
847	6057	1085
848	6062	1078
849	6067	1070
850	6072	1063
851	6078	1055
852	6083	1048
853	6088	1040
854	6094	1033
855	6100	1026
856	6105	1018
857	6111	1011
858	6115	1003
859	6121	996
860	6125	988
861	6131	981
862	6136	974
863	6141	966
864	6146	959
865	6151	951
866	6156	944
867	6161	936
868	6166	929
869	6172	922
870	6177	914
871	6182	907
872	6188	900
873	6193	892
874	6199	885
875	6205	878
876	6211	871
877	6218	864
878	6223	856
879	6230	849
880	6237	842
881	6243	835
882	6249	828
883	6256	820
884	6262	813
885	6268	806
886	6274	799
887	6281	792
888	6286	784
889	6292	777
890	6307	771
891	6314	764
892	6320	757
893	6327	750
894	6333	742
895	6338	735
896	6345	728
897	6351	721
898	6358	714
899	6366	707
900	6372	700
901	6379	693
902	6385	685
903	6391	678
904	6398	671
905	6407	664
906	6414	657
907	6421	650
908	6432	643
909	6439	636
910	6446	629
911	6451	622
912	6458	615
913	6463	608
914	6469	601
915	6475	593
916	6482	586
917	6488	579
918	6494	572
919	6501	565
920	6507	558
921	6513	551
922	6519	543
923	6526	536
924	6534	529
925	6541	522
926	6547	515
927	6554	508
928	6561	501
929	6568	494
930	6575	487
931	6582	480
932	6589	473
933	6596	466
934	6603	459
935	6610	451
936	6617	444
937	6624	437
938	6632	430
939	6639	423
940	6647	416
941	6655	409
942	6661	402
943	6668	395
944	6675	388
945	6681	381
946	6688	374
947	6694	367
948	6700	360
949	6707	353
950	6715	346
951	6722	338
952	6728	331
953	6734	324
954	6741	317
955	6748	310
956	6753	303
957	6770	296
958	6776	289
959	6782	282
960	6788	275
961	6794	268
962	6800	261
963	6806	254
964	6812	247
965	6817	239
966	6822	232
967	6828	225
968	6833	218
969	6838	211
970	6843	204
971	6848	197
972	6853	190
973	6858	183
974	6864	176
975	6868	168
976	6874	161
977	6878	154
978	6884	147
979	6889	140
980	6895	133
981	6900	126
982	6906	119
983	6911	112
984	6916	105
985	6921	98
986	6928	91
987	6935	84
988	6941	77
