iter	Logloss	Accuracy
0	0.6808055531	0.7945205479
1	0.6694666678	0.8082191781
2	0.6562652517	0.8082191781
3	0.6430434896	0.7808219178
4	0.631987619	0.7808219178
5	0.6229279264	0.8082191781
6	0.6130533669	0.8219178082
7	0.6045973661	0.8219178082
8	0.5979408298	0.8219178082
9	0.5863986106	0.8356164384
10	0.5782862035	0.8356164384
11	0.5712764779	0.8356164384
12	0.565286072	0.8630136986
13	0.5557725878	0.8356164384
14	0.5473302763	0.8356164384
15	0.5409076439	0.8493150685
16	0.533763742	0.8493150685
17	0.5248316502	0.8904109589
18	0.52036438	0.8767123288
19	0.5125893449	0.8904109589
20	0.5055052927	0.8904109589
21	0.5025980328	0.8904109589
22	0.4959034163	0.9178082192
23	0.4924310158	0.904109589
24	0.4843599192	0.9178082192
25	0.4774429372	0.9178082192
26	0.4724107787	0.9178082192
27	0.4687560163	0.9178082192
28	0.4635881555	0.9178082192
29	0.4553448598	0.9178082192
30	0.4488678035	0.9315068493
31	0.4451067292	0.9315068493
32	0.4415569371	0.9315068493
33	0.4366921239	0.9178082192
34	0.4331169199	0.9178082192
35	0.4307166996	0.9178082192
36	0.4285760289	0.9178082192
37	0.4228259309	0.9315068493
38	0.4191553077	0.9315068493
39	0.4148735302	0.9315068493
40	0.4126810311	0.9178082192
41	0.4118578832	0.9315068493
42	0.4085827796	0.9452054795
43	0.4059731651	0.9452054795
44	0.404255712	0.9452054795
45	0.4008171813	0.9452054795
46	0.3957297429	0.9589041096
47	0.3948104138	0.9589041096
48	0.391370815	0.9726027397
49	0.3877222318	0.9726027397
50	0.3831608096	0.9589041096
51	0.3777982694	0.9726027397
52	0.3754068229	0.9726027397
53	0.3748005281	0.9726027397
54	0.372487407	0.9726027397
55	0.3709894237	0.9726027397
56	0.3688786709	0.9726027397
57	0.3651769769	0.9589041096
58	0.3629457082	0.9589041096
59	0.3610562795	0.9589041096
60	0.359321772	0.9589041096
61	0.3570543537	0.9589041096
62	0.3532674241	0.9589041096
63	0.3488202337	0.9726027397
64	0.3478218815	0.9726027397
65	0.3458249853	0.9726027397
66	0.3405068603	0.9726027397
67	0.3390268772	0.9726027397
68	0.3374565882	0.9726027397
69	0.3353102704	0.9726027397
70	0.3331597279	0.9726027397
71	0.3309398684	0.9726027397
72	0.3297079439	0.9726027397
73	0.3278075408	0.9726027397
74	0.3266840928	0.9726027397
75	0.3240419971	0.9726027397
76	0.3212414713	0.9726027397
77	0.3182619971	0.9726027397
78	0.3170921303	0.9726027397
