iter	Logloss	Accuracy
0	0.67358101	0.8630136986
1	0.6578652596	0.8082191781
2	0.6488609573	0.8630136986
3	0.6299237037	0.8630136986
4	0.6194029633	0.8356164384
5	0.6037819923	0.8493150685
6	0.5912645041	0.8630136986
7	0.5820790142	0.8904109589
8	0.5636879688	0.8904109589
9	0.55274221	0.8904109589
10	0.5436162856	0.904109589
11	0.5315626178	0.904109589
12	0.5238094019	0.9178082192
13	0.5166226875	0.904109589
14	0.5062262993	0.9178082192
15	0.4979699275	0.9178082192
16	0.4900681035	0.9178082192
17	0.4843587223	0.9178082192
18	0.4765464208	0.9178082192
19	0.4706935429	0.9178082192
20	0.4649054152	0.9178082192
21	0.4543926663	0.9178082192
22	0.4503761262	0.9178082192
23	0.4438810508	0.9178082192
24	0.4395854601	0.9178082192
25	0.4351292593	0.9178082192
26	0.4276443594	0.9178082192
27	0.4219827419	0.9315068493
28	0.4181400646	0.9178082192
29	0.4096084171	0.9178082192
30	0.404464803	0.9178082192
31	0.4014474044	0.9178082192
32	0.3983275859	0.9178082192
33	0.3945570488	0.9315068493
34	0.3899619417	0.9315068493
35	0.384687051	0.9315068493
36	0.3804585597	0.9315068493
37	0.3742972348	0.9315068493
38	0.3711481837	0.9315068493
39	0.3672299463	0.9315068493
40	0.3596867079	0.9178082192
41	0.3571307206	0.9178082192
42	0.3563308097	0.9178082192
43	0.354180579	0.9178082192
44	0.3507917243	0.9178082192
45	0.3481368005	0.9178082192
46	0.3440509676	0.9315068493
47	0.3406839925	0.9315068493
48	0.3378042466	0.9315068493
49	0.3347081624	0.9315068493
50	0.3307891199	0.9315068493
51	0.3282265661	0.9315068493
52	0.3247403554	0.9452054795
53	0.3215524753	0.9452054795
54	0.3203576163	0.9452054795
55	0.3186321642	0.9452054795
56	0.3168675121	0.9452054795
57	0.315213641	0.9452054795
58	0.3137314093	0.9452054795
59	0.3120837658	0.9452054795
60	0.3109084984	0.9452054795
61	0.3062972413	0.9452054795
62	0.3055916391	0.9452054795
63	0.302750642	0.9589041096
64	0.3009646113	0.9726027397
65	0.3000177307	0.9726027397
66	0.2983126727	0.9726027397
67	0.2970954783	0.9726027397
68	0.2938887569	0.9589041096
69	0.2922164084	0.9726027397
70	0.2911161102	0.9726027397
71	0.2880164704	0.9726027397
72	0.2863117935	0.9726027397
73	0.2853347722	0.9726027397
74	0.2838170934	0.9863013699
75	0.2803382031	0.9726027397
76	0.2791580639	0.9726027397
77	0.2779902614	0.9863013699
78	0.2768488774	0.9863013699
79	0.2750380209	0.9863013699
80	0.273827812	0.9863013699
81	0.2729099429	0.9863013699
82	0.270423361	0.9863013699
83	0.2686134587	0.9863013699
84	0.2669978496	0.9863013699
85	0.2657121897	0.9863013699
86	0.2612149353	0.9863013699
87	0.2599661774	0.9863013699
88	0.258636894	0.9863013699
89	0.2577879713	0.9863013699
90	0.2559976796	0.9863013699
91	0.2557326379	0.9863013699
92	0.2546748782	0.9863013699
93	0.2508560579	0.9863013699
94	0.2497055511	0.9863013699
95	0.2487997671	0.9863013699
96	0.2463679407	0.9863013699
97	0.2454018748	0.9863013699
98	0.2445135088	0.9863013699
99	0.2441811986	0.9863013699
100	0.2401390202	0.9863013699
101	0.2384253445	0.9863013699
102	0.2362423639	0.9863013699
103	0.2346213407	0.9863013699
104	0.2336545005	0.9863013699
105	0.2322480808	0.9863013699
106	0.2302494512	0.9863013699
107	0.2283558361	0.9863013699
108	0.2262448367	0.9863013699
109	0.2253893577	0.9863013699
110	0.2238242751	0.9863013699
111	0.2224407692	0.9863013699
112	0.2203936593	0.9863013699
113	0.2190897369	0.9863013699
114	0.2183939197	0.9863013699
115	0.2171465145	0.9863013699
116	0.216055398	0.9863013699
117	0.215450094	0.9863013699
118	0.2136224063	0.9863013699
119	0.2128566221	1
120	0.2106703806	1
121	0.2100711734	1
122	0.2086857848	1
123	0.2078631811	1
124	0.2071941454	1
125	0.2057818664	1
126	0.2037555137	1
127	0.2031856867	1
128	0.2022502607	1
129	0.2013187049	1
130	0.2001048991	1
131	0.1993777593	1
132	0.1987587179	1
133	0.1977986018	1
134	0.1941926555	1
135	0.1930918653	1
136	0.1928327793	1
137	0.1905847341	1
138	0.1899727461	1
139	0.1893705906	1
140	0.1870917326	1
141	0.1865760281	1
142	0.1852334452	1
143	0.18420339	1
144	0.1830160204	1
145	0.1823206109	1
146	0.181218826	1
147	0.1803316809	1
148	0.1793262507	1
149	0.1788894541	1
150	0.1772727768	1
151	0.1764226857	1
152	0.1759106707	1
153	0.1734760795	1
154	0.1727915857	1
155	0.1716616889	1
156	0.1707634878	1
157	0.1699991128	1
158	0.1693081983	1
159	0.1686106552	1
160	0.1666187991	1
161	0.1661968916	1
162	0.1655251277	1
163	0.1639709598	1
164	0.1616604806	1
165	0.1590023465	1
166	0.155726521	1
167	0.1548594522	1
168	0.1543517443	1
169	0.1535640471	1
170	0.1528816788	1
171	0.1521070954	1
172	0.1499574842	1
173	0.1472480632	1
174	0.1467244059	1
175	0.1463677754	1
176	0.145757672	1
177	0.1434750431	1
178	0.1384492333	1
179	0.13803219	1
180	0.1373822375	1
181	0.1370174426	1
182	0.1363783489	1
183	0.1359952451	1
184	0.1333974062	1
185	0.1330446403	1
186	0.1314169719	1
187	0.1296918063	1
188	0.1293654042	1
189	0.1290290267	1
190	0.1273784073	1
191	0.1270660389	1
192	0.1261562495	1
193	0.1256354978	1
194	0.1234148006	1
195	0.122393248	1
196	0.1220817211	1
197	0.1202225458	1
198	0.1199318294	1
199	0.1195284965	1
200	0.117484658	1
201	0.1169428699	1
202	0.1165743954	1
203	0.116242362	1
204	0.1140710806	1
205	0.1101405802	1
206	0.109591874	1
207	0.1089827592	1
208	0.1083948993	1
209	0.106749447	1
210	0.1063659968	1
211	0.105675404	1
212	0.1038178602	1
213	0.1035650238	1
214	0.1011287163	1
215	0.100849264	1
216	0.09983693191	1
217	0.09665927026	1
218	0.09639388558	1
219	0.09609467017	1
220	0.09467430982	1
221	0.09438005205	1
222	0.09148113206	1
223	0.09123890879	1
224	0.09100246941	1
225	0.09067772674	1
226	0.08943301443	1
227	0.0891163366	1
228	0.08882709886	1
229	0.08837167903	1
230	0.08725441689	1
231	0.08695621248	1
232	0.08647951784	1
233	0.08537438426	1
234	0.08513144469	1
235	0.08483594329	1
236	0.08427270726	1
237	0.08310847593	1
238	0.08223265813	1
239	0.08180580418	1
240	0.08081663429	1
241	0.08055419273	1
242	0.07902923395	1
243	0.07882401895	1
244	0.07857645579	1
245	0.07749533442	1
246	0.07731431067	1
247	0.07627994501	1
248	0.07513599343	1
249	0.0749580129	1
250	0.07406585464	1
251	0.07386843873	1
252	0.07322774407	1
253	0.07304020092	1
254	0.07240008263	1
255	0.07205064658	1
256	0.07174067571	1
257	0.0714067138	1
258	0.0705000219	1
259	0.06963485433	1
260	0.06933970525	1
261	0.06831597359	1
262	0.06815945172	1
263	0.06733717754	1
264	0.06679580128	1
265	0.06563018652	1
266	0.06546479756	1
267	0.06530379873	1
268	0.065144497	1
269	0.06488634282	1
270	0.06411253607	1
271	0.06383166469	1
272	0.06309081295	1
273	0.06287243866	1
274	0.06216550334	1
275	0.06134869773	1
276	0.06119872664	1
277	0.06105169673	1
278	0.06088437322	1
279	0.06074296278	1
280	0.06048554563	1
281	0.05978513097	1
282	0.05925215448	1
283	0.05912467384	1
284	0.05851678017	1
285	0.05809656958	1
286	0.0579252031	1
287	0.05779331152	1
288	0.0571474442	1
289	0.05697968451	1
290	0.05635870641	1
291	0.05619218922	1
292	0.05571557302	1
293	0.05506491028	1
294	0.05493792298	1
295	0.05481327907	1
296	0.05423605978	1
297	0.05407709271	1
298	0.05395549733	1
299	0.05356491549	1
300	0.05344511174	1
301	0.05332747339	1
302	0.05317862441	1
303	0.05262015824	1
304	0.0521246773	1
305	0.0519784985	1
306	0.05144790818	1
307	0.05130277454	1
308	0.05094750952	1
309	0.05062082453	1
310	0.05012206031	1
311	0.05001157203	1
312	0.04952965914	1
313	0.04938682336	1
314	0.04914380669	1
315	0.04867956307	1
316	0.04854045188	1
317	0.04840474067	1
318	0.04808687906	1
319	0.04764244111	1
320	0.04753738414	1
321	0.04740444065	1
322	0.04697236279	1
323	0.04684043985	1
324	0.04654400469	1
325	0.04644278826	1
326	0.04611111709	1
327	0.0460111418	1
328	0.04579518792	1
329	0.04538954284	1
330	0.04529185595	1
331	0.04516748602	1
332	0.04491723568	1
333	0.04482296414	1
334	0.04443127845	1
335	0.04433762277	1
336	0.04421797462	1
337	0.04396553339	1
338	0.0437671239	1
339	0.04339214467	1
340	0.04330178766	1
341	0.04318654471	1
342	0.04296861729	1
343	0.04255677352	1
344	0.04199861906	1
345	0.04191424326	1
346	0.04183119984	1
347	0.04174945938	1
348	0.04144453663	1
349	0.04115019308	1
350	0.0409160379	1
351	0.04083536029	1
352	0.04055241812	1
353	0.0402783774	1
354	0.04001996012	1
355	0.03994019296	1
356	0.03986165911	1
357	0.0395438646	1
358	0.039465789	1
359	0.03938891311	1
360	0.03918320625	1
361	0.0391072826	1
362	0.03887814406	1
363	0.03880425292	1
364	0.03873141702	1
365	0.03853047219	1
366	0.03827833231	1
367	0.03805869707	1
368	0.03781629151	1
369	0.03761445379	1
370	0.03754296282	1
371	0.03747261705	1
372	0.03726264902	1
373	0.03705720457	1
374	0.03698913159	1
375	0.03646298248	1
376	0.03639735238	1
377	0.0363326625	1
378	0.0362688938	1
379	0.0360405586	1
380	0.03562873283	1
381	0.03514111647	1
382	0.03492608411	1
383	0.03446042496	1
384	0.03440099483	1
385	0.03419454561	1
386	0.03406289656	1
387	0.0338631047	1
388	0.03364432343	1
389	0.03345137266	1
390	0.03329016459	1
391	0.03310243542	1
392	0.03294480317	1
393	0.03288891803	1
394	0.03273599944	1
395	0.03268144306	1
396	0.03262754112	1
397	0.03246685278	1
398	0.03228290097	1
399	0.03213788692	1
400	0.03195862275	1
401	0.03181659938	1
402	0.03164155959	1
403	0.03150235627	1
404	0.03144898324	1
405	0.03131376652	1
406	0.03126187325	1
407	0.03102558301	1
408	0.03097486415	1
409	0.03074483726	1
410	0.03069522816	1
411	0.03047120613	1
412	0.03042264747	1
413	0.03020588374	1
414	0.02997824478	1
415	0.02980126599	1
416	0.02964054845	1
417	0.02950561733	1
418	0.02934941321	1
419	0.02921773356	1
420	0.02906585046	1
421	0.02894739424	1
422	0.02883162367	1
423	0.02868288194	1
424	0.02856920208	1
425	0.02842404589	1
426	0.02831474471	1
427	0.02817297923	1
428	0.02798316794	1
429	0.0278767189	1
430	0.02773973815	1
431	0.02755688559	1
432	0.02735903257	1
433	0.02724398287	1
434	0.02710928686	1
435	0.02697711257	1
436	0.02680517487	1
437	0.02667619093	1
438	0.0265495736	1
439	0.02642525622	1
440	0.02630317465	1
441	0.02626337488	1
442	0.02609892273	1
443	0.02597991752	1
444	0.02594122456	1
445	0.02582456033	1
446	0.02578663482	1
447	0.02571076668	1
448	0.02558881015	1
449	0.02551454087	1
450	0.02542466958	1
451	0.02519147386	1
452	0.02514701336	1
453	0.0250304334	1
454	0.02491657782	1
455	0.02480534603	1
456	0.02469218713	1
457	0.02460870823	1
458	0.02450070483	1
459	0.02441892195	1
460	0.02426386248	1
461	0.02422162309	1
462	0.02411784454	1
463	0.02403891584	1
464	0.02393788389	1
465	0.02383087508	1
466	0.0237538799	1
467	0.02365566935	1
468	0.02358032648	1
469	0.02343664056	1
470	0.02339664211	1
471	0.02329459859	1
472	0.02320075346	1
473	0.02312799099	1
474	0.0230364735	1
475	0.02276044529	1
476	0.02267167349	1
477	0.02245427202	1
478	0.02241684534	1
479	0.02228701987	1
480	0.02225041783	1
481	0.02216549879	1
482	0.02206583565	1
483	0.02181337771	1
484	0.0217313657	1
485	0.02165115526	1
486	0.02157251069	1
487	0.02137429198	1
488	0.021098249	1
489	0.02083211379	1
490	0.02057539776	1
491	0.02054916573	1
492	0.0203482378	1
493	0.02032276602	1
494	0.02029759476	1
495	0.02027271686	1
496	0.02007959998	1
497	0.02005542679	1
498	0.02003153315	1
499	0.01984543592	1
500	0.01982220497	1
501	0.01979924063	1
502	0.01961981804	1
503	0.01959747749	1
504	0.0195753914	1
505	0.01955355367	1
506	0.01938080793	1
507	0.01935955039	1
508	0.019312938	1
509	0.01929204155	1
510	0.01924638222	1
511	0.01922583472	1
512	0.01901797012	1
513	0.01899794302	1
514	0.01890803599	1
515	0.0188643142	1
516	0.01877731282	1
517	0.01873459944	1
518	0.01866549274	1
519	0.01859796569	1
520	0.0185319592	1
521	0.01847187717	1
522	0.01840844054	1
523	0.01825189419	1
524	0.01819344452	1
525	0.0180418427	1
526	0.01798522175	1
527	0.01792561564	1
528	0.0177895163	1
529	0.01773490998	1
530	0.0176782936	1
531	0.01762558248	1
532	0.01753207094	1
533	0.01749167334	1
534	0.01745174651	1
535	0.017361313	1
536	0.01732210808	1
537	0.01724608843	1
538	0.01720752904	1
539	0.01716940761	1
540	0.01713264069	1
541	0.01705922991	1
542	0.01702344004	1
543	0.01697407782	1
544	0.01693904399	1
545	0.01685548676	1
546	0.01682122462	1
547	0.01675225949	1
548	0.01672098323	1
549	0.01669011762	1
550	0.01661075914	1
551	0.01658058784	1
552	0.01655080197	1
