iter	Passed	Remaining
0	12	12765
1	17	8786
2	22	7464
3	27	6906
4	32	6401
5	36	6056
6	40	5815
7	45	5628
8	49	5455
9	54	5356
10	58	5295
11	63	5219
12	68	5178
13	72	5137
14	77	5088
15	82	5054
16	88	5088
17	93	5088
18	98	5078
19	103	5050
20	107	5023
21	112	5004
22	117	4988
23	122	4967
24	126	4936
25	131	4928
26	136	4901
27	140	4873
28	146	4897
29	151	4891
30	156	4887
31	160	4869
32	165	4848
33	170	4850
34	177	4885
35	182	4875
36	187	4875
37	192	4870
38	196	4853
39	202	4859
40	207	4857
41	212	4853
42	216	4827
43	221	4822
44	227	4824
45	232	4817
46	236	4796
47	241	4785
48	246	4782
49	250	4766
50	255	4747
51	259	4731
52	264	4730
53	269	4727
54	274	4711
55	280	4724
56	284	4713
57	289	4698
58	293	4674
59	298	4677
60	303	4671
61	308	4667
62	311	4632
63	316	4622
64	320	4609
65	340	4823
66	357	4985
67	363	4987
68	373	5040
69	620	8239
70	679	8888
71	688	8874
72	696	8843
73	702	8793
74	708	8739
75	714	8692
76	722	8657
77	729	8618
78	735	8578
79	741	8530
80	747	8482
81	754	8441
82	760	8401
83	767	8368
84	774	8339
85	781	8305
86	788	8274
87	795	8239
88	816	8355
89	823	8328
90	830	8293
91	833	8225
92	841	8211
93	847	8170
94	855	8147
95	861	8116
96	867	8075
97	874	8050
98	881	8024
99	885	7970
100	893	7953
101	899	7923
102	907	7906
103	914	7880
104	924	7884
105	930	7845
106	938	7828
107	942	7788
108	949	7759
109	956	7736
110	961	7703
111	967	7670
112	972	7633
113	977	7599
114	982	7558
115	987	7526
116	993	7500
117	998	7465
118	1006	7450
119	1011	7419
120	1016	7386
121	1025	7378
122	1031	7356
123	1038	7336
124	1043	7305
125	1050	7287
126	1057	7272
127	1064	7249
128	1070	7227
129	1077	7211
130	1084	7193
131	1090	7173
132	1096	7150
133	1103	7129
134	1110	7113
135	1117	7099
136	1120	7060
137	1127	7043
138	1134	7029
139	1142	7019
140	1150	7006
141	1155	6982
142	1162	6965
143	1168	6944
144	1174	6925
145	1181	6913
146	1189	6900
147	1196	6890
148	1204	6876
149	1211	6863
150	1218	6848
151	1225	6836
152	1232	6824
153	1239	6807
154	1246	6794
155	1253	6779
156	1262	6781
157	1269	6764
158	1277	6755
159	1284	6745
160	1292	6735
161	1299	6720
162	1306	6706
163	1312	6688
164	1318	6674
165	1325	6661
166	1332	6648
167	1338	6631
168	1344	6611
169	1350	6595
170	1356	6577
171	1362	6560
172	1368	6541
173	1374	6526
174	1380	6509
175	1387	6496
176	1392	6476
177	1397	6455
178	1402	6434
179	1408	6415
180	1413	6394
181	1417	6373
182	1423	6355
183	1428	6336
184	1434	6320
185	1439	6297
186	1443	6276
187	1448	6256
188	1453	6236
189	1458	6216
190	1463	6197
191	1468	6179
192	1474	6166
193	1480	6150
194	1485	6132
195	1491	6116
196	1497	6103
197	1502	6084
198	1506	6065
199	1512	6049
200	1517	6032
201	1522	6015
202	1527	5998
203	1532	5980
204	1537	5963
205	1542	5945
206	1547	5929
207	1553	5916
208	1559	5900
209	1563	5882
210	1569	5867
211	1574	5851
212	1579	5834
213	1584	5819
214	1589	5803
215	1595	5790
216	1601	5777
217	1606	5764
218	1613	5753
219	1618	5737
220	1623	5723
221	1632	5722
222	1663	5794
223	1670	5785
224	2117	7292
225	2133	7305
226	2138	7282
227	2144	7262
228	2152	7246
229	2168	7260
230	2174	7238
231	2180	7218
232	2186	7198
233	2192	7177
234	2200	7162
235	2206	7141
236	2211	7120
237	2218	7101
238	2223	7080
239	2229	7059
240	2235	7041
241	2240	7019
242	2246	6998
243	2251	6976
244	2257	6955
245	2263	6936
246	2269	6918
247	2274	6898
248	2280	6879
249	2285	6857
250	2291	6838
